"tick","Adopted"
0.0,10.0
1.0,42.0
2.0,102.0
3.0,205.0
4.0,284.0
5.0,351.0
6.0,387.0
7.0,399.0
8.0,400.0
9.0,400.0
10.0,400.0
11.0,400.0
