"tick","Adopted"
0.0,10.0
1.0,44.0
2.0,86.0
3.0,175.0
4.0,290.0
5.0,358.0
6.0,383.0
7.0,392.0
8.0,400.0
9.0,400.0
10.0,400.0
11.0,400.0
