"tick","Adopted"
0.0,9.0
1.0,107.0
2.0,448.0
3.0,831.0
4.0,897.0
5.0,900.0
6.0,900.0
7.0,900.0
8.0,900.0
9.0,900.0
10.0,900.0
11.0,900.0
12.0,900.0
13.0,900.0
14.0,900.0
15.0,900.0
16.0,900.0
17.0,900.0
18.0,900.0
19.0,900.0
20.0,900.0
21.0,900.0
22.0,900.0
23.0,900.0
24.0,900.0
25.0,900.0
26.0,900.0
27.0,900.0
28.0,900.0
29.0,900.0
30.0,900.0
