"tick","Adopted","run"
0.0,9.0,1
1.0,82.0,1
2.0,209.0,1
3.0,415.0,1
4.0,641.0,1
5.0,802.0,1
6.0,878.0,1
7.0,892.0,1
8.0,898.0,1
9.0,900.0,1
10.0,900.0,1
11.0,900.0,1
