"tick","Adopted","run"
0.0,9.0,1
1.0,77.0,1
2.0,246.0,1
3.0,490.0,1
4.0,727.0,1
5.0,852.0,1
6.0,890.0,1
7.0,900.0,1
8.0,900.0,1
9.0,900.0,1
