"tick","Adopted","run"
0.0,9.0,1
1.0,69.0,1
2.0,192.0,1
3.0,411.0,1
4.0,664.0,1
5.0,845.0,1
6.0,898.0,1
7.0,900.0,1
8.0,900.0,1
9.0,900.0,1
